Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/3_source_receptors/SR_PM25_Y_20170322_potencyBased.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;Cardiff;Cardiff_City;7;PPM;1.505753e-01;1.340383e+00;1.524632e-03;1.123375e+01;7.528763e-02;4.938084e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;7;SOx;1.752308e-04;1.559860e-03;5.518425e-05;1.123375e+01;8.761538e-05;1.587688e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;8;NH3;1.661132e-04;1.478698e-03;8.079494e-04;1.123375e+01;8.305661e-05;1.027993e-01
sherpa_chimere;PM25;Cardiff;Cardiff_City;8;NMVOC;6.699372e-05;5.963612e-04;8.471274e-07;1.123375e+01;3.349686e-05;3.954170e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;8;NOx;1.108947e-02;9.871569e-02;4.298129e-05;1.123375e+01;5.544737e-03;1.290035e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;8;PPM;1.616165e-02;1.438669e-01;8.197699e-04;1.123375e+01;8.080826e-03;9.857432e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;8;SOx;7.397368e-04;6.584950e-03;2.048923e-05;1.123375e+01;3.698684e-04;1.805185e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;9;NH3;6.091874e-03;5.422832e-02;5.195813e-04;1.123375e+01;3.045937e-03;5.862292e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;9;NMVOC;4.779151e-05;4.254279e-04;4.700714e-07;1.123375e+01;2.389576e-05;5.083432e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;9;NOx;3.737999e-04;3.327472e-03;7.571410e-05;1.123375e+01;1.868999e-04;2.468496e+00
sherpa_chimere;PM25;Cardiff;Cardiff_City;9;PPM;5.442343e-02;4.844636e-01;1.647737e-03;1.123375e+01;2.721172e-02;1.651459e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;9;SOx;2.222468e-06;1.978385e-05;4.134238e-05;1.123375e+01;1.111234e-06;2.687881e-02
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;10;NH3;1.537482e-01;1.368628e+00;2.243141e-04;1.123375e+01;7.687411e-02;3.427075e+02
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;10;NMVOC;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;10;NOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;10;PPM;1.822280e-03;1.622148e-02;2.923031e-04;1.123375e+01;9.111402e-04;3.117107e+00
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;10;SOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;1;NH3;1.092025e-03;9.720932e-03;2.156614e-04;1.123375e+01;5.460126e-04;2.531805e+00
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;1;NMVOC;3.202585e-05;2.850860e-04;2.256794e-07;1.123375e+01;1.601293e-05;7.095431e+01
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;1;NOx;1.628103e-01;1.449296e+00;2.949984e-05;1.123375e+01;8.140515e-02;2.759512e+03
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;1;PPM;7.531878e-02;6.704687e-01;3.660569e-04;1.123375e+01;3.765939e-02;1.028785e+02
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;1;SOx;2.293649e-02;2.041749e-01;1.174210e-05;1.123375e+01;1.146825e-02;9.766776e+02
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;2;NH3;3.546806e-03;3.157277e-02;2.045146e-04;1.123375e+01;1.773403e-03;8.671280e+00
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;2;NMVOC;1.091631e-04;9.717426e-04;1.925282e-07;1.123375e+01;5.458157e-05;2.834992e+02
sherpa_chimere;PM25;Cardiff;Cardiff_Comm;2;NOx;1.389453e-02;1.236856e-01;2.161998e-05;1.123375e+01;6.947264e-03;3.213354e+02
